PatientAge,bmdtest_height,bmdtest_weight,bmdtest_tscore_fn,PatientGender,parentbreak,ptunsteady,whereliv,education,alcohol,wasfractdue2fall,ptfall,fxworried,notworking,marital,arthritis,cancer,diabetes,heartdisease,respdisease,howbreak,hip,ankle,clavicle,elbow,femur,spine,wrist,shoulder,tibfib
67,175.26,90.718474,-3.1,2,0,0,2,4,0,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
73,170.18,75.29633342,-0.6,1,0,1,2,3,0,1,0,0,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
81,172.72,65.77089365,-2.1,2,0,0,2,2,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
65,154.94,58.05982336,-0.8,1,0,0,2,4,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
73,152.4,72.5747792,-1,1,2,0,2,2,0,1,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
53,175,91,-2.3,2,0,1,1,3,0,1,0,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
62,160,46,-1.7,1,0,0,2,4,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
63,171,64.2,-1.4,1,0,0,2,4,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
81,176,82,-1.6,2,0,0,2,3,0,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
58,181,96,-1.6,2,0,1,2,3,0,1,0,0,1,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
60,163.5,69.9,-1.9,1,0,0,2,3,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
68,167,59,-1.4,1,3,0,2,3,0,1,0,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
55,175.26,68.94604024,-0.4,1,1,0,2,4,0,1,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70,157,88.2,-2,1,0,0,2,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
76,148,71.4,-2.2,1,0,0,2,2,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
57,172.5,108.8,-0.7,1,0,0,2,3,0,1,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
66,165,73,-1.8,1,0,0,2,3,0,1,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
79,150,94.4,-1.6,1,0,0,1,2,0,1,0,1,1,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
88,165.1,70.30681735,-1.6,2,0,0,1,2,0,1,0,0,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
68,159.6,86.4,-0.4,1,1,0,1,4,0,1,0,2,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
77,152,80,-1.6,1,0,0,2,4,0,1,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
62,160,109.3,-1.6,1,0,0,2,3,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
61,159,67.5,-2,1,0,1,2,3,0,1,0,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
76,156,63,-1.7,1,0,0,2,6,0,1,1,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
53,170.18,79.37866475,-0.1,1,1,0,2,3,0,1,1,1,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
59,152.4,63.5029318,-1.6,1,0,0,2,4,0,1,1,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
58,162.052,74.84274105,-0.9,1,1,0,2,7,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
57,161.5,77,-2.8,1,0,0,1,3,0,1,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
61,171,58,-1,1,0,1,2,3,0,1,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
58,170,95,-0.1,1,0,0,1,2,0,1,1,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
58,159,62,-2.3,1,0,0,2,3,0,1,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
